job_title;company;descriptions;location;subcategory;type;salary;date_ingestion
Microsoft Dynamics / Power Apps Developer;PT Xumei Food Tech Indonesia;"Bachelor's degree in computer science, engineering, information systems, information technology, or a related field.; 1-2 years of experience in Power Apps development; Experience in using and developing solutions based on Microsoft Office 365 Tools such as Microsoft Teams, Outlook, One Drive, SharePoint, Microsoft List, Planner, To Do, Microsoft Project, Microsoft Form, Power Apps, and Power Automate.; Proficient in JavaScript; Provide necessary training to the users so that they can operate the Office365 solutions.; Monitor solution performance, identify and resolve errors, and implement improvements for optimal functionality; Create clear documentation for developed flows and collaborate with other departments to ensure wider adoption of automation solutions; Ability to work independently and as part of a team; Excellent problem-solving skills; Excellent Written English is essential.; Strong communication skills; Work with the Lead Power Apps Developer to develop and maintain custom Power Apps.; Collaborate with other developers and stakeholders to ensure that the Power Apps meet business requirements; Troubleshoot and debug issues with Power Apps.; Stay up-to-date with the latest trends and technologies in Power Apps development.; Secondary role as IT support to the team.";West Jakarta, Jakarta;Developer/Programmer;full time;;16/01/2024
Frontend Internship;PT. Radha Mustika Chakra;"Develop new user interface features that meet the requirements of UI/UX design; Building clean and reusable code for future use; Applying web design principles and being responsible for responsive displays across multiple designs; Integrate data that is provided by Back-end Developer and display it on the application; Striking a balance between functional and aesthetic design; Optimizing web pages for maximum speed and scalability; Maintaining brand consistency throughout the design; Developing features to enhance the user experience; Candidate min. on 5th semester in Bachelor degree in Technical Information.; Willing to join our team min. 3 months.; Familiar with front-end technologies such as JavaScript, HTML, CSS, etc.; Good understanding in interaction with back-end service (web API); Accustomed to using nextjs, git, jira and used to working using crum.; Willing to work hybrid (3 days per week WFO) at East Jakarta";Jakarta;Engineering - Software;Casual/Vacation;;16/01/2024
Fullstack Engineer;PT Teknologi Pamadya Analytical;"Deeply engaged in the full development lifecycle designing, developing, testing, deploying, maintaining, monitoring, and improving software; Deploy code daily and use data to drive our decisions while delivering software and analytics to consumers and dealers; Collaborate with fellow engineers and product partners as you solve interesting problems; Write well-formatted modular code; Compile and integrate changes with the project; Convert given high-level software design to low-level software design; Use suitable data structures; Perform, debug and fix bugs with high competency in both backend and frontend environments; Bachelor's Degree in Computer Science / Computer Engineering or equivalent work; min. 5 years active software development; excellent coding skills in Go programming language; Experienced on designing and building large scale distributed systems, highly available, highly reliable systems; Experienced in different databases. Relational (PostgreSQL, MS-SQL), Memory Database (Redis, Memcached etc) and NoSQL (Big Query, Elasticsearch); Familiar with API Integration, Microservice, Event Driven Architecture; Used with Agile Software Development Life Cycle; Experienced in AI programming is highly appreciated; Draft/develop software requirements in collaboration with the Product Owner and your team.; Deliver/support with any Proof of Concept work, focusing on any uncertain design aspects/features.; Develop detailed design outputs, including software code and release notes; Draft software test protocols as part of design verification activities, execute any testing as necessary, and produce test reports; Develop CI/CD pipelines to support your development efforts; Manage change control within the product life cycle; Identify design improvements and value engineering opportunities; Attend design reviews and project technical progress meetings; You already have 3+ years of experience in PHP; Experience using Magento platform is a big plus.; You have excellent knowledge of: HTML, JavaScript, jQuery, Bootstrap, CSS Preprocessors, Cross-Browser Development and Responsive Design.; Experience RESTful Services and APIs.; Familiar Database schema design, SQL or NoSQL, store management procedure; Experience with NodeJs or ReactJs is a plus.; Cloud infrastructure knowledge is a plus.; Having reasonable English written and spoken; Undergraduate bachelor degree";Tangerang, Banten;Developer/Programmer;full time;;16/01/2024
Web Developer;PT Supra Boga Lestari Tbk;"Minimum working experience 2 years; Passion for Programming; Programming skills needed Node Js, Php, C#.; Good MySQL knowledge, NoSQL, REST API, source code management tools (Bitbucket, GIT); Prior experience in this field for a minimum of 2 years; Creative and know how to do given what to do; Honest, good personality & character, good analytical thinking, innovative, time management, and highly responsible; Excellent teamwork and deadline-oriented; Fluent in Indonesian and English.; Ensure the performance, quality, and efficiency of applications; Collaborate with a team to define, design, and ship new features; Identify and correct bottlenecks and fix bugs; Help maintain code quality, organization, and automation; Write clean, stable, documented and tested code; Deliver development requirements in an Agile-SCRUM methodology; Develop software solutions with readable clean code and standard coding conventions; Work with various teams on various projects to deliver great software; Work with designers and graphic artists to ensure well-presented UI; Have an interest in all aspects of development and a willingness to learn more; Provide daily updates on achievements and work plans; At least 1 year(s) of experience in web application development using Microsoft web technology stacks (C#, ASP.MVC, .NET Framework 4.xx / .NET Core).; Familiar with Microsoft Visual Studio; Experienced use RDBMS such as MS SQL Server or MySQL; Experience building a web user interface using JavaScript, jQuery, HTML, and CSS; Experience using GIT version control; Good communication, interpersonal skills, able to communicate in English and Indonesian; High levels of integrity and self-motivation, honest, responsible with work; Familiar working with deadlines; Deliver development requirements in an Agile-SCRUM methodology; Develop software solutions with readable clean code and standard coding conventions; Work with various teams on various projects to deliver great software; Work with designers and graphic artists to ensure well-presented UI; Have an interest in all aspects of development and a willingness to learn more; Provide daily updates on achievements and work plans; At least 1 year(s) of experience in web application development using Microsoft web technology stacks (C#, ASP.MVC, .NET Framework 4.xx / .NET Core).; Familiar with Microsoft Visual Studio; Experienced use RDBMS such as MS SQL Server or MySQL; Experience building a web user interface using JavaScript, jQuery, HTML, and CSS; Experience using GIT version control; Good communication, interpersonal skills, able to communicate in English and Indonesian; High levels of integrity and self-motivation, honest, responsible with work; Familiar working with deadlines; Responsible for designing, coding and modifying websites, translating UI layout to function and according to project/product specifications; Collaborate with backend developers,graphics ad other designers; To design and develop new/modify the existing Web Application with Angular best practice; Able to integrate REST API in Web Applications; To maintain and update Web Applications using programming languages ​​such as HTML, CSS, JavaScript and jQuery.; To carry out application test checks of specific functionality.";Jakarta;Engineering - Software;full time;;16/01/2024
Senior Python IT Staff;PT. Sinar Mas Insurance;"Male/Female, max age 28 years; Bachelor's degree in Informatics Engineering, min GPA 3.00; Minimum 2 years experience in python programming; Deeper mastery of programming languages ​​such as Python; Understanding oracle database.; Understand the framework; Able to speak English well and correctly; Able to work quickly & thoroughly; Hard woker";Central Jakarta, Jakarta;Engineering - Software;full time;;16/01/2024
Backend Developer;PT Cimory Dairy Shop..;"Design, develop, and maintain scalable backend services and APIs using relevant programming languages ​​and frameworks (e.g., Python / Django, Java / Spring).; Ensure the reliability and performance of backend systems, including relational (e.g. MySQL) and NoSQL (e.g. MongoDB) databases; Collaborate with the front-end development team to enable seamless integration between the user interface and backend functionality.; Implement cloud-based services and serverless architecture (e.g., AWS, Google Cloud) to optimize platform scalability.; Create a RESTful API that allows efficient communication between the server and client side components.; Handles server logic, including design and implementation of core website functionality.; Work closely with cross-functional teams to understand project requirements and translate them into technical specifications.; Placement: Meruya - West Jakarta.";West Jakarta, Jakarta;Developer/Programmer;full time;;16/01/2024
IT MIS / Programmer;PT Argo Manunggal Triasta;"Candidate must possess at least Bachelor's Degree in Information Systems/Computer Science/Information Technology or equivalent.; At least 3 Year(s) of working experience in the related field (especially in Web Programming); Strong Understanding of: Web programming languages ​​(PHP, JAVA, HTML experience) Other programming languages ​​(SQL/C/C++, API); Web programming languages ​​(PHP, JAVA, HTML experience); Other programming languages ​​(SQL/C/C++, API); Strong Understanding of Mobile Apps; Understanding of ABAP SAP Programming Language (Point Plus); Strong analytical problem-solving skills; Deadline Driven and End User Oriented; Aptitude for learning new technology; Have good communication skills; Fast Leaner, Good Initiative, and Multitasking Skill.; Willing to be placed at Cikokol, Tangerang and willing to travel if needed; Participate in the full software development life cycle, from concept and design to testing, deployment, troubleshooting and maintenance.; Support the business during the rollout and implementation of new features and functionality for Web Application and SAP.; Development of Web Applications (PHP) based on Mobile Apps or Desktop.; SAP Form and Report Development; Creating SAP APIs; Material Master Data Input; Participate in the full software development life cycle, from concept and design to testing, deployment, troubleshooting and maintenance; Support the business during the rollout and implementation of new features and functionality; Web programming languages ​​(PHP, JAVA, HTML experience); Other programming languages ​​(SQL/C/C++, API)";Tangerang, Banten;Developer/Programmer;full time;;16/01/2024
Senior Data Based IT Staff;PT. Sinar Mas Insurance;"Male/Female, max age 28 years; Bachelor's degree in Informatics Engineering, min GPA 3.00; Minimum 2 years experience in Tablu/Qlkiview; Deeper mastery of programming languages ​​such as PL/SQL; Understanding Oracle database and SQL server; Understand the framework; Able to speak English well and correctly; Able to work quickly & thoroughly; Hard woker";Central Jakarta, Jakarta;Developer/Programmer;full time;;16/01/2024
IT Programmer (Fullstack Developer);PT Patigeni Mitra Sejati;"D3/S1 education in Informatics Engineering/Information Systems/Visual Communication Design, open to RPL/TKJ/Multimedia Vocational School graduates; Maximum age 27 years; Have at least 1 year experience in the same field; Attach a portfolio of website or system designs that have been worked on; Work on target/deadline; Can speak English well (at least writing); Mastering object-oriented PHP and the Laravel framework; Strong understanding in OOP, relational database and Rest API concepts; Master and experience with HTML, CSS, Jquery, Mysql; Experience working with collaborative tools such as Git; Familiar with linux CLI/server; Highly curious and willing to learn new things; Mastering flutter is a plus";Semarang, Central Java;Developer/Programmer;full time;IDR 3,250,000 – IDR 3,700,000 per month;16/01/2024
Junior Developer;PT Istidata Indopacific Solution Center;"Mastering one of the programming languages; Mastering NetBeans IDE tools or Visual Studio IDE; Mastering SQL (Oracle & SQL Server); Mastering Javascript, jQuery, HMTL and CSS; Have analytical skills; Able to communicate well.; Able to adapt and work in a team; Fast learner independently; Enjoys exploring new technologies; Minimum bootcamp graduate, D3/S1 in Computer Engineering, Informatics Engineering & Informatics Management; Have a passion for programming, want to learn other programming languages ​​besides the one you master, have experience coding and creating programs as an added value; Will be trained for 1 month; Develop applications using .NET or Java.; Create documentation (manual) that has been agreed upon by the parties; Fix bugs arising from newly created or modified applications; Carrying out work in accordance with technical specifications that have been and/or will be provided either verbally or in writing; Carry out enterprise-scale digitalization application development, including the ability to carry out software development (programming) by referring to existing technology standards; Experience using jQuery, AJAX, docker and a JavaScript framework like Meteor.js or Node.js.; Exposure to technologies similar to those our team uses on a daily basis — PHP, MySQL.; Experience with any of the following: Composer, Vagrant, PHP Storm or PHP Unit.; Working knowledge of PSR standards; Ability to write unit tests using BDD or TDD.; Have experience in basic cross browser support, caching and optimization techniques (css sprite, minify, gzip, data uri) for faster page load times.; Build responsive design, handle page navigation and turn mockups into actual web pages quickly and according to spec.; Write and maintain reusable code with documentation and testing/QA at all stages through integration; Collaborate daily with other developers across the full software development lifecycle; Write, test, maintain and document reusable code in PHP and MySQL.; Develop enterprise-quality, horizontally scalable code using best practices, quickly and according to spec.; Develop APIs, outputting JSON or XML for use by frontend interfaces; Technical Skills and Experience Requirements:; Computer Science fundamentals in object-oriented design, data structures and algorithm design, and complexity analysis; Software development fundamentals, including testing, troubleshooting and using version control (we use Gitlab); 4+ years of professional web application development experience; 4+ year's professional experience in software development using JavaScript and/or Java.; Well rounded engineering skills, with full-stack web development and services experience; Familiar with and/or have experience with Agile development under the SCRUM methodology; Be proficient in Front-end Coding and Design (Laravel, JavaScript, CSS, HTML, jQuery,and libraries or frameworks such as Angular and React JS); Have built applications using Java based stacks such as Spring MVC, Play, GWT, etc.; Experience translating design mockups and prototypes into working application designs; Familiarity with scripting languages ​​such as Perl, PHP (Laravel), Ruby, Python, or Unix shell scripting.; Experience with data interchange formats such as XML or JSON; Demonstrated achievement in backend development technologies using PHP and API development (portfolio required).; Ability to work with databases, such as MySQL and third-party APIs; Ability to create component-based reusable and testable APIs.; Understanding of networking, platforms, caching layers, proxies, or other web services used in the system; Basic Linux server and environment experience.";Jakarta;Developer/Programmer;Contract/Temp;IDR 5,000,000 – IDR 6,000,000 per month;16/01/2024
