subcategory,result_descriptions
Developer/Programmer,science engineering app development develop microsoft office microsoft outlook drive microsoft microsoft microsoft app javascript office monitor develop problemsolving app developer develop maintain app developer app troubleshoot app app development
Engineering - Software,develop uiux design web design design backend developer application design web maintain design develop frontend javascript html css backend web api nextjs git jira crum
Developer/Programmer,engage development lifecycle design develop testing maintain monitoring software drive software analytic engineer compile software design software design backend frontend science engineering software development programming design database postgresql mssql database nosql query api drive architecture agile software development programming software design develop design software software protocol design execute testing report develop development manage control design engineering design php magento platform html javascript jquery bootstrap css development design restful apis database design sql nosql management nodejs reactjs cloud have
Engineering - Software,programming programming js php mysql nosql rest api management git creative analytical management application design maintain development develop software software designer graphic ui development web application development microsoft web net framework net microsoft rdbms sql server mysql web javascript jquery html css git control development develop software software designer graphic ui development web application development microsoft web net framework net microsoft rdbms sql server mysql web javascript jquery html css git control design ui backend developersgraphic designer design develop web application rest api web application maintain web application programming html css javascript jquery application
Engineering - Software,informatics engineer python programming programming python oracle database framework
Developer/Programmer,design develop maintain scalable backend apis programming framework python django java backend mysql nosql mongodb database frontend development backend cloudbase serverless architecture aws google cloud platform restful api server server design
Developer/Programmer,scienceinformation web programming web programming php java html programming sqlcc api web programming php java html programming sqlcc api mobile app abap sap programming analytical problemsolving drive software development design deployment troubleshooting maintenance web application sap development web application php mobile app desktop sap report development sap apis software development design deployment troubleshooting maintenance web programming php java html programming sqlcc api
Developer/Programmer,informatics engineer programming plsql oracle database sql server framework
Developer/Programmer,education engineeringinformation design design objectoriented php laravel framework oop database rest api html css jquery mysql git linux cliserver flutter
Developer/Programmer,programming netbean sql oracle sql server javascript jquery css analytical bootcamp engineering engineering management programming programming develop application net java application application development software development programming jquery ajax docker javascript framework meteorjs nodejs php mysql php php psr bdd tdd css sprite minify gzip data uri build design web maintain developer software development lifecycle maintain php mysql develop scalable develop apis json xml frontend science objectoriented design algorithm design analysis software development testing troubleshooting control gitlab web application development software development javascript java engineering fullstack web development agile development scrum frontend design laravel javascript css html jqueryand framework react js build application java gwt design application design scripting perl php laravel ruby python unix shell scripting xml json backend development php api development database mysql apis componentbased apis networking platform proxy web linux server
Developer/Programmer,web development html css javascript jquery java framework rdbms rdbms oracle postgresql db oracle postgresql db concepts rest api develop api postman web application development maintenance banking application analyze
Database Development & Administration,education analyze financial google develop maintain database reporting analyze statistical report management
Testing & Quality Assurance,engineeringinformation engineering testing jira management testing
Testing & Quality Assurance,informatics engineering engineering management electrical engineering mathematic statistic development office comply analysis root report develop testing protocol application application application application control github gitlab
Engineering - Software,education sap programming lifecycle maintain performing develop abap sap development abap
Engineering - Software,science programming python query sql report application erp odoo
Program & Project Management,education scienceinformation microsoft office management software hardware networking have management reporting management office administration monitor monitoring report report
Testing & Quality Assurance,management software development sdlc analytical analytical maintain ui testing report manage bug report developer uiux analyst management testing scienceinformation engineering science microsoft office testing web mobile application jira management uiux
Developer/Programmer,design develop applicationssoftware applicationssoftware application maintenance applicationssoftware compile software education informatics engineering programming erp software administration api development php codeigniter framework laravel programming html css bootstrap framework taldwind jquery javascriptajax json mysql oracle mekar armada investama abang
Developer/Programmer,software development software architecture software java linux github database mongodb postgresql
Engineering - Software,nan
Database Development & Administration,execute setting office testing database backup setting monitor setting report management erp sap sql query excel word application fmcg management erp sap sql query excel word application fmcg execute setting office testing database backup setting monitor setting report
Developer/Programmer,education science engineering software development development programming java python database postgresql have api education science engineering software development development programming java python database postgresql have api developer software engineer developer develop desktop mobile web application frontend framework xml react redux nodejs develop app database mysql postgresql mongodb uiux design
Developer/Programmer,education engineering web developer tsql mysql mssql server html css javascript jquery bootstrap json php web development api development github programming design develop web maintenance education engineering web developer tsql mysql mssql server html css javascript jquery bootstrap json php web development api development github programming design develop web maintenance applicationsprograms web development javascript html css javascript programming application sql wordpress frontend backend web developer programming develop
Developer/Programmer,laravel framework controller laravel javascript jquery mysql postgresql database control github
Developer/Programmer,science php laravel framework frontend development vuejs html css javascript restful api development database mysql postgresql control gitlab web application security kab onsitewfo
Program & Project Management,accounting sql programming oracle sql server application erp analyze design testing
Developer/Programmer,javascript report maintain java objectoriented office
Program & Project Management,application zoom platform
Developer/Programmer,design develop manage deployment design report javascript sql design design architecture development assure respective science sap programming comprehend sql report software microsoft software application architecture design manage software development application software development sdlc development microsoft basicnet net report microsoft sql server database
Web Development & Production,development maintenance app web plugin web application design engineering web cms development develop magento php framework maintain sql database algorithm api web programming clientserver http html javascript
Developer/Programmer,software development development framework htmlcssjs react reactnative bootstrap backend development framework nodejs expressjs cloud platform azure database sql nosql cypress cucumber postman serverless framework vscode jenkins docker design spa restapi jira trello software development agile scrum kanban tdd bdd maintain informatics engineering programmer java programming php python android ios
Engineering - Software,application lifecycle analyze troubleshoot application design develop majoring informatics engineering handson application development microsoft platform net framework net management design architecture java python report report data ssis ssrs sap database sql server postgre mysql azure development platform window mobile design bootstrap
